Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome
165,Invention of the Compass,Unknown,Unknown,1050,China,Scientific,China,"Revolutionized navigation and exploration, contributing to the Age of Discovery.",Global population,Chinese scientists,Positive
166,Invention of Printing Technology,Unknown,Unknown,650,China,Scientific,China,"Pioneered the use of woodblock and movable type printing, transforming information dissemination.",Global population,Chinese inventors,Positive
167,Battle of Red Cliffs,Unknown,Unknown,208,China,Military,Yangtze River,A decisive battle that marked the beginning of the Three Kingdoms period in Chinese history.,Chinese states,"Sun Quan, Liu Bei",Positive
168,The Grand Canal Construction,Unknown,Unknown,650,China,Infrastructure,Hangzhou to Beijing,"The world's longest canal, crucial for internal trade and transportation in Imperial China.",Chinese population,Sui Dynasty,Positive
169,Zheng He's Expeditions,Unknown,Unknown,1430,China,Exploration,"Southeast Asia, Africa",Demonstrated China's naval capabilities and established international trade routes.,"Asia, Africa",Zheng He,Positive
170,Ming Dynasty's Voyages of Zheng He,Unknown,Unknown,1430,China,Exploration,"Southeast Asia, Africa",Demonstrated China's naval capabilities and established international trade routes.,"Asia, Africa",Zheng He,Positive
171,Qing Dynasty's Establishment,Unknown,Unknown,1644,China,Dynastic Transition,China,"The last imperial dynasty of China, known for its expansion, arts, and internal consolidation.",Chinese population,Manchu leaders,Mixed
172,Boxer Rebellion,Unknown,Unknown,1900,China,AntiUnknownImperialist Uprising,Northern China,An antiUnknownforeigner movement that aimed to rid China of foreign influence.,"Foreigners, Chinese Christians",Boxer militants,Negative
173,May Fourth Movement,4,May,1919,China,Cultural and Political Movement,Beijing,"A studentUnknownled protest against the Treaty of Versailles' decisions, sparking significant cultural and intellectual reform.","Chinese intellectuals, students","Chinese students, intellectuals",Positive
174,OneUnknownChild Policy Introduced,Unknown,Unknown,1979,China,Population Control Policy,Nationwide,Aimed to control the rapidly growing population of China through strict family planning.,Chinese families,Chinese government,Mixed
175,SinoUnknownJapanese War (Second),Unknown,Unknown,1937,China,Military Conflict,China,"A major part of WWII in Asia, resulting in significant casualties and atrocities like the Nanjing Massacre.",Chinese population,"Imperial Japanese Army, Nationalist China",Negative
176,Deng Xiaoping's Southern Tour,Unknown,Unknown,1992,China,Economic Reform,Southern China,"Reaffirmed the commitment to economic reforms and openingUnknownup policies, leading to rapid economic growth.",Chinese citizens,Deng Xiaoping,Positive
177,Return of Hong Kong,1,July,1997,China,Sovereignty Transition,Hong Kong,Marked the transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed
178,Return of Macau,20,December,1999,China,Sovereignty Transition,Macau,"Similar to Hong Kong's return, marked the transfer of sovereignty over Macau from Portugal to China.",Residents of Macau,Portuguese and Chinese governments,Mixed
179,2008 Beijing Olympics,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
180,Shanghai Cooperation Organization Establishment,15,June,2001,China,International Organization,Shanghai,"Founded to promote multilateral cooperation in security, economy, and culture among member states.",Member states,"China, Russia, Central Asian states",Positive
183,Three Kingdoms Period Begins,Unknown,Unknown,220,China,Historical Period,China,"A period of fragmentation and warfare among rival kingdoms Wei, Shu, and Wu.",Chinese population,"Cao Cao, Liu Bei, Sun Quan",Mixed
184,An Lushan Rebellion,Unknown,Unknown,755,China,Military Rebellion,"Chang'an, Luoyang",A devastating rebellion against the Tang dynasty that significantly weakened it.,"Tang dynasty, rebels",An Lushan,Negative
185,Marco Polo's Visit to Yuan Dynasty China,Unknown,Unknown,1290,China,Exploration,Yuan Dynasty China,Enhanced knowledge and interest in China among Europeans through his detailed accounts.,European and Chinese societies,Marco Polo,Positive
186,Forbidden City Completion,Unknown,Unknown,1420,China,Architectural,Beijing,"Served as the imperial palace for Ming and Qing dynasties, symbolizing imperial power and architectural brilliance.","Chinese emperors, court",Ming Dynasty emperors,Positive
187,Jesuit Missionaries Arrive in Ming Dynasty,Unknown,Unknown,1530,China,Cultural/Religious Exchange,Ming Dynasty China,"Introduced Western science, technology, and religion to the Chinese imperial court.",Ming Dynasty society,Matteo Ricci and other Jesuits,Mixed
188,Treaty of Nanking Signed,Unknown,Unknown,1842,China,International Agreement,Nanking,"Ended the First Opium War, ceding Hong Kong to Britain and opening up ports to foreign trade under unequal terms.","Qing Dynasty, British Empire","Qing Dynasty, British Empire",Negative
189,Establishment of the People's Republic of China,1,October,1949,China,Political,Beijing,"Marked the victory of the Communist Party in the Chinese Civil War, establishing a socialist state.",Chinese citizens,Mao Zedong,Positive
190,Economic Reform and OpeningUnknownup Policy Initiated,Unknown,Unknown,1978,China,Economic Policy,Nationwide,"Introduced by Deng Xiaoping, leading to significant economic growth and opening China to the global market.",Chinese citizens,Deng Xiaoping,Positive
191,Founding of the People's Republic of China,1,October,1949,China,Political,Beijing,"Establishment of a communist government in China, significantly altering the country's political landscape.",Chinese citizens,Mao Zedong,Positive
192,Great Leap Forward,Unknown,Unknown,1958,China,Economic Policy,Nationwide,"Aimed at rapidly transforming China from an agrarian society into an industrial one, leading to widespread famine.",Chinese rural population,Mao Zedong,Negative
193,Cultural Revolution,Unknown,Unknown,1966,China,Political/Social Movement,Nationwide,"Aimed at preserving Chinese communism by purging remnants of capitalist and traditional elements, causing social and political upheaval.",Chinese population,Mao Zedong,Negative
194,SinoUnknownAmerican Rapprochement,Unknown,Unknown,1972,China,International Relations,"Beijing, Shanghai","Normalization of relations between China and the United States, marked by President Nixon's visit.",Chinese and American populations,"Mao Zedong, Zhou Enlai, Richard Nixon",Positive
195,Reform and OpeningUnknownup Policy,Unknown,Unknown,1978,China,Economic Reform,Nationwide,"Initiated by Deng Xiaoping, leading to significant economic growth and opening China to the global market.",Chinese citizens,Deng Xiaoping,Positive
196,Tiananmen Square Protests,Unknown,June,1989,China,Political,Beijing,ProUnknowndemocracy protests calling for political reform; violently suppressed by the government.,"Protesters, general public","Chinese government, protesters",Negative
197,Hong Kong Handover,1,July,1997,China,Sovereignty Transition,Hong Kong,Transfer of sovereignty over Hong Kong from the United Kingdom to China.,Residents of Hong Kong,British and Chinese governments,Mixed
198,China Joins the World Trade Organization (WTO),11,December,2001,China,International Economic Integration,Geneva,"Marked China's deeper integration into the global economy, significantly boosting trade.","Global economy, Chinese exporters",Chinese government,Positive
199,2008 Beijing Olympic Games,8,August,2008,China,International Sports Event,Beijing,Showcased China's emergence as a global power and led to widespread infrastructural improvements in Beijing.,Global audience,"International Olympic Committee, Chinese government",Positive
200,Belt and Road Initiative Announced,Unknown,Unknown,2013,China,Economic and Infrastructure Project,Nationwide,A global development strategy adopted by the Chinese government involving infrastructure development and investments.,"Global, especially participating countries",Xi Jinping,Mixed
201,SARS Epidemic,Unknown,Unknown,2002,China,Health Crisis,Guangdong,A severe outbreak that underscored the need for global public health cooperation and transparency.,Global population,Unknown,Negative
202,AntiUnknownSecession Law Passed,14,March,2005,China,Legislation,Beijing,"Aimed at preventing Taiwan's independence through nonUnknownpeaceful means, escalating crossUnknownstrait tensions.",Chinese and Taiwanese populations,National People's Congress of China,Mixed
203,HighUnknownSpeed Rail Expansion,Unknown,Unknown,2008,China,Infrastructure Development,Nationwide,"Initiated extensive development of the highUnknownspeed rail network, revolutionizing domestic travel and connectivity.",Chinese citizens,"Chinese government, Ministry of Railways",Positive
204,Shanghai World Expo,1,May,2010,China,International Exhibition,Shanghai,"Showcased China's cultural and economic global integration, attracting participants and visitors worldwide.",International visitors,"Shanghai World Expo Bureau, International Participants",Positive
205,Xi Jinping Assumes Presidency,14,March,2013,China,Political,Beijing,"Marked the beginning of Xi Jinping's leadership, significantly impacting China's domestic policies and global stance.",Chinese citizens,Xi Jinping,Mixed
206,Made in China 2025 Initiative Announced,Unknown,Unknown,2015,China,Economic Policy,Nationwide,"A strategic plan to transition China into a highUnknowntech manufacturing leader, affecting global trade dynamics.","Global economy, Chinese industries",Chinese government,Mixed
207,South China Sea Arbitration Ruling,12,July,2016,China,International Relations,South China Sea,"An international tribunal ruled against China's claims in the South China Sea, which China rejected.",Regional claimant states,"Permanent Court of Arbitration, Chinese government",Negative
208,Chang'eUnknown5 Moon Mission Success,1,December,2020,China,Space Exploration,Moon,"Successfully returned lunar samples to Earth, marking a significant achievement in China's space exploration.",Global scientific community,China National Space Administration,Positive
209,Comprehensive Agreement on Investment with the EU,30,December,2020,China,International Economic Agreement,Brussels,"Aimed to increase investment opportunities between China and the European Union, enhancing economic ties.",EU and Chinese investors,"European Union, Chinese government",Positive
210,Foundation of Kievan Rus',Unknown,Unknown,882,Russia,State Formation,Kiev,"Established the first East Slavic state, laying the foundation for Russian nationality and statehood.",East Slavs,Prince Oleg of Novgorod,Positive
212,Mongol Invasion of Rus',Unknown,Unknown,1237,Russia,Military Invasion,Kievan Rus',"Led to the Mongol domination of Russian territories, profoundly affecting its development.",Rus' principalities,Batu Khan,Negative
213,Battle of Kulikovo,8,September,1380,Russia,Military,Kulikovo Field,Marked the beginning of the decline of Mongol influence over Russian territories.,Russian principalities,Dmitry Donskoy,Positive
214,Ivan III Tripled the Territory of Russia,Unknown,Unknown,1490,Russia,Territorial Expansion,Moscow,"Known as ""Ivan the Great,"" he significantly expanded Russian territory and centralized power in Moscow.",Russian state,Ivan III,Positive
